1: VijaySingh -3.924247; 90% interval: (-4.502502, -3.333696)
2: TigerWoods -3.791863; 90% interval: (-4.430097, -3.024974)
3: PhilMickelson -3.386651; 90% interval: (-4.016241, -2.684282)
4: ErnieEls -3.385835; 90% interval: (-4.409794, -2.507692)
5: StewartCink -3.087341; 90% interval: (-3.718912, -2.491886)
6: JayHaas -2.962094; 90% interval: (-3.645683, -2.234890)
7: SergioGarcia -2.935819; 90% interval: (-3.616378, -2.063073)
8: ScottVerplank -2.804568; 90% interval: (-3.431508, -2.139049)
9: PadraigHarrington -2.802912; 90% interval: (-3.813510, -1.871420)
10: RetiefGoosen -2.789626; 90% interval: (-3.631047, -1.944616)
11: StephenAmes -2.710595; 90% interval: (-3.329723, -2.113238)
12: ChrisDiMarco -2.703679; 90% interval: (-3.326495, -2.095360)
13: DavisLoveIII -2.488386; 90% interval: (-3.161306, -1.830656)
14: RobertAllenby -2.487360; 90% interval: (-3.038683, -1.919951)
15: TomLehman -2.484799; 90% interval: (-3.186152, -1.799775)
16: AdamScott -2.463847; 90% interval: (-3.333982, -1.566154)
17: ShigekiMaruyama -2.445373; 90% interval: (-3.070263, -1.847160)
18: JerryKelly -2.441540; 90% interval: (-3.061473, -1.848496)
19: RorySabbatini -2.425373; 90% interval: (-2.996893, -1.795392)
20: KennyPerry -2.413115; 90% interval: (-3.051286, -1.716621)
21: ZachJohnson -2.398089; 90% interval: (-2.940198, -1.819127)
22: K.J.Choi -2.381439; 90% interval: (-3.031813, -1.755044)
23: JesperParnevik -2.347700; 90% interval: (-2.923637, -1.702367)
24: JustinRose -2.272875; 90% interval: (-2.910900, -1.560890)
25: ChadCampbell -2.253387; 90% interval: (-2.817907, -1.595233)
26: LukeDonald -2.238910; 90% interval: (-2.905626, -1.503498)
27: PaulCasey -2.222424; 90% interval: (-3.281193, -1.137675)
28: JustinLeonard -2.193941; 90% interval: (-2.867648, -1.536764)
29: KirkTriplett -2.155485; 90% interval: (-2.772621, -1.604619)
30: LorenRoberts -2.148746; 90% interval: (-2.781471, -1.564289)
31: DavidToms -2.124550; 90% interval: (-2.805775, -1.420987)
32: CarlosFranco -2.122156; 90% interval: (-2.703532, -1.525156)
33: FredrikJacobson -2.074667; 90% interval: (-2.709023, -1.408575)
34: BoVanPelt -2.072975; 90% interval: (-2.634444, -1.517087)
35: MikeWeir -2.042204; 90% interval: (-2.753823, -1.365026)
36: LeeJanzen -2.033184; 90% interval: (-2.614429, -1.396371)
37: AngelCabrera -1.991381; 90% interval: (-2.952203, -0.910603)
38: SteveFlesch -1.989431; 90% interval: (-2.548282, -1.378585)
39: NickPrice -1.972548; 90% interval: (-2.754832, -1.180153)
40: StuartAppleby -1.959352; 90% interval: (-2.533691, -1.338417)
41: BrinyBaird -1.956594; 90% interval: (-2.523792, -1.369551)
42: GeoffOgilvy -1.937217; 90% interval: (-2.535012, -1.355167)
43: RodPampling -1.923807; 90% interval: (-2.526608, -1.352329)
44: JeffSluman -1.916571; 90% interval: (-2.500622, -1.388773)
45: CarlPettersson -1.900418; 90% interval: (-2.416123, -1.259458)
46: JohnDaly -1.893794; 90% interval: (-2.555582, -1.235480)
47: ScottHoch -1.892667; 90% interval: (-2.626721, -1.162902)
48: ArronOberholser -1.891085; 90% interval: (-2.543938, -1.216509)
49: FredFunk -1.887235; 90% interval: (-2.417795, -1.229993)
50: CharlesHowellIII -1.879582; 90% interval: (-2.437073, -1.331112)
51: BradFaxon -1.862197; 90% interval: (-2.498640, -1.269833)
52: Jean-FrancoisRemesy -1.840899; 90% interval: (-3.804131, 0.104027)
53: TimClark -1.839802; 90% interval: (-2.465275, -1.228450)
54: SpencerLevin -1.823943; 90% interval: (-4.021144, 0.293362)
55: BillHaas -1.802310; 90% interval: (-2.836069, -0.815712)
56: DuffyWaldorf -1.800942; 90% interval: (-2.504946, -1.161633)
57: BernhardLanger -1.798934; 90% interval: (-2.486226, -0.995396)
58: FredCouples -1.772866; 90% interval: (-2.604696, -0.983945)
59: StephenLeaney -1.762367; 90% interval: (-2.450897, -1.134155)
60: DarrenClarke -1.745603; 90% interval: (-2.537119, -0.910340)
61: JoeDurant -1.724103; 90% interval: (-2.218966, -1.176555)
62: ChrisRiley -1.723403; 90% interval: (-2.355408, -1.037139)
63: CoreyPavin -1.695879; 90% interval: (-2.395740, -1.082851)
64: BobTway -1.690214; 90% interval: (-2.366922, -1.082572)
65: FrankLickliter -1.688142; 90% interval: (-2.277244, -1.123640)
66: TedPurdy -1.686899; 90% interval: (-2.246236, -1.191218)
67: DennisPaulson -1.684375; 90% interval: (-2.360838, -0.927150)
68: JeffMaggert -1.672650; 90% interval: (-2.363958, -1.028160)
69: MichaelCampbell -1.664510; 90% interval: (-3.116559, -0.071670)
70: CameronBeckman -1.657112; 90% interval: (-2.226503, -1.077701)
71: MiguelAngelJimenez -1.653521; 90% interval: (-2.921323, -0.248690)
72: JohnSenden -1.652917; 90% interval: (-2.184834, -1.014170)
73: MarkHensby -1.648166; 90% interval: (-2.244191, -1.043368)
74: BrentGeiberger -1.646248; 90% interval: (-2.267206, -1.091417)
75: TomPernice,Jr. -1.635389; 90% interval: (-2.221867, -1.088110)
76: NickO'Hern -1.625914; 90% interval: (-3.792052, 0.520670)
77: ChipSullivan -1.612729; 90% interval: (-3.913509, 0.419354)
78: BenCrane -1.611240; 90% interval: (-2.214694, -0.990315)
79: J.J.Henry -1.609324; 90% interval: (-2.140255, -1.090039)
80: KevinSutherland -1.594941; 90% interval: (-2.261442, -0.962206)
81: JoeOgilvie -1.593716; 90% interval: (-2.201737, -1.024299)
82: BrianBateman -1.572147; 90% interval: (-2.177684, -0.977204)
83: TomByrum -1.569385; 90% interval: (-2.184829, -0.991224)
84: TimHerron -1.567843; 90% interval: (-2.162022, -0.985263)
85: ShaunMicheel -1.560236; 90% interval: (-2.215295, -0.977774)
86: MarkCalcavecchia -1.551885; 90% interval: (-2.242654, -0.877011)
87: DavidPeoples -1.546568; 90% interval: (-2.149961, -0.966857)
88: BenCurtis -1.538673; 90% interval: (-2.245799, -0.772829)
89: BobEstes -1.537324; 90% interval: (-2.175112, -0.905677)
90: PaulMcGinley -1.535915; 90% interval: (-2.989084, -0.164900)
91: TimPetrovic -1.524280; 90% interval: (-2.118273, -0.955762)
92: JimFuryk -1.516432; 90% interval: (-2.329581, -0.690533)
93: JoeySindelar -1.507689; 90% interval: (-2.043893, -0.969270)
94: HarrisonFrazar -1.507518; 90% interval: (-2.214894, -0.879015)
95: JoseMariaOlazabal -1.506925; 90% interval: (-2.237737, -0.763113)
96: BrettQuigley -1.495138; 90% interval: (-2.046458, -0.987391)
97: IanPoulter -1.483102; 90% interval: (-2.554633, -0.611201)
98: SkipKendall -1.455956; 90% interval: (-2.015458, -0.921047)
99: J.L.Lewis -1.452414; 90% interval: (-2.036160, -0.906295)
100: MattGogel -1.450461; 90% interval: (-2.060178, -0.850484)
101: AlexCejka -1.450339; 90% interval: (-2.072941, -0.776001)
102: ToddHamilton -1.445315; 90% interval: (-1.984049, -0.786630)
